id,titulo,descr,cat
803,Instalacion PI en mi PC,requiero la instalcion del PI en mi PC y el procesbook,ADTR > Consulta /Actualizacion de Informacion Historica (PI)
34120,Acceso servidores histórico de WAMS en consolas de SP7,Buen díaFavor de habilitar el acceso a los servidores históricos de WAMS desde las consolas de SP7 del departamento. Actualmente solo se tiene acceso a los servidores históricos de SCADA.Saludos,ADTR > Consulta /Actualizacion de Informacion Historica (PI)
45863,Instalacion de PI y Process Book en PCs Corporativas,"Buen día, para solicitar de favor la instalación del PI y Process Book en PCs Corporativas del Jefe de Turno y Supervisor Operativo Jornada Nocturna (Operador y Auxiliar) de la sala de operación. Sin mas por el momento quedo en espera de su respuesta y pronta atención. Gracias y saludos...   Ing. Juan B. Landavazo SaavedraGerencia de Control Regional NoroesteSubgerencia de Operación y DespachoSupervisor OperativoTel . 2-59-56-12Ext. 54022La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan, está destinada únicamente a la persona o entidad a quien va dirigida y puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales.Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente.El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.    ""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR > Consulta /Actualizacion de Informacion Historica (PI)
53879,Apoyo para configuración de habilitación de conexión PI ABB para sistema LIMOGEN,Apoyo para configuración de habilitación de conexión PI ABB para sistema LIMOGEN,ADTR > Consulta /Actualizacion de Informacion Historica (PI)
67370,Acceso a Histórico ABB,Reporta el Ing. Julio Gallegos que no puede acceder al histórico desde su equipo,ADTR > Consulta /Actualizacion de Informacion Historica (PI)
67441,Tarea automatica para consultar y enviar a repositorio del CENAL la demanda máxima y mínima bruta instantánea diaria de la GCRNO,"Buena tarde compañeros de TICs, Con el objetivo de atender de forma óptima y eficiente el requerimiento de información del CENAL a nuestra GCR, solicitamos su apoyo para el desarrollo de una tarea automática que realice las siguientes acciones:Consulta de demanda máxima y mínima (instantánea) diaria al punto de PI  04   PSE.CR-CARGA TOTAL SISTEMA  .AV y escribir dato en el formato anexo.La tarea deberá ejecutarse diariamente antes de las 07:00 horas (centro), y consultar los datos del día anterior, registrando fecha, hora y minuto donde haya ocurrido la demanda máxima y mínima instantánea, tomando como referencia el horario del centro, La tarea deberá verificar que el dato de demanda máxima y mínima instantáneo no sea mayor a una banda de tolerancia de 50MW respecto a la demanda máxima integrada de Hoja de Marcha del mismo día. En caso de que la demanda máxima instantánea de PI sea mayor a 50MW respecto la demanda máxima integrada de Hoja de Marcha, se le sumará 25MW a la demanda máxima de Hoja de Marcha, y se registrará la hora de máxima de Hoja de Marcha. El archivo actualizado deberá enviarse diariamente al repositorio que indique el CENAL, para ello es necesario ponerse en contacto con a id=""OWAAM986897"" class=""tWKOu mention ms-bgc-nlr ms-fcl-b"" href=""mailto:jose.valencia@cenace.gob.mx"" @Jose Maria Valencia Ramirez del CENAL.Enviar correo a a id=""OWAAM162125"" class=""tWKOu mention ms-bgc-nlr ms-fcl-b"" href=""mailto:jesus.valenzuela10@cenace.gob.mx"" @Jesus Valenzuela Balbastro, a id=""OWAAM838227"" class=""tWKOu mention ms-bgc-nlr ms-fcl-b"" href=""mailto:edgar.balderrama@cenace.gob.mx"" @Edgar Fernando Balderrama Flores, a id=""OWAAM11775"" class=""tWKOu mention ms-bgc-nlr ms-fcl-b"" href=""mailto:manuel.verdugo@cenace.gob.mx"" @Manuel Adolfo Verdugo Vazquez y a id=""OWAAM919109"" class=""tWKOu mention ms-bgc-nlr ms-fcl-b"" href=""mailto:luis.monge@cenace.gob.mx"" @Luis Carlos Monge Castro adjuntando el archivo anexo con datos actualizados, Notificando el envío exitoso de los datos, así como cuando ocurra un Error en el envío.Quedo de ustedes para cualquier duda y/o comentario al respecto. Saludos    ""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR > Consulta /Actualizacion de Informacion Historica (PI)
99626,Puntos calculados TBT,"Se solicita crear puntos calculados para las unidades de TBT: Los puntos son: '\ orhis4\04   TBT.UN-01    NETA         MW.AV'\ orhis4\04   TBT.UN-02    NETA         MW.AV'\ orhis4\04   TBT.UN-03    NETA         MW.AV Respetando la siguiente lógica: Cuando la información recibida por el punto es negativa - Enviar el valor a 0 (cero).  ""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR > Consulta /Actualizacion de Informacion Historica (PI)
105804,Incongruencia histórico PI SCADA,"Buenas tardes. Para solicitar se revise la incongruencia que reporta la medición de la 04   BAC LT-A3N60 MW. En SCADA reporta cero, mientras que en PI reporta -133. Anexo imágenes para mayor referencia.     Saludos  ""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR > Consulta /Actualizacion de Informacion Historica (PI)
107441,Incongruencia entre WS500 e Historico de ABB,Favor de analizar problemática presentada entre la incongruencia de valores en NVL y SSA,ADTR > Consulta /Actualizacion de Informacion Historica (PI)
108501,INSTALACION DE PI DE EXCEL Y PI PROCESSBOOK PARA COMPUTADORA DE ALEJANDRO VERDUZCO,"Buen día, El motivo del correo es para solicitar la instalación del PI en Excel y el PI ProcessBook en la computadora de Alejandro Verduzco (ubicado en mi lugar anterior) Saludos y gracias.""La información contenida en este correo electrónico, así como, en su caso, el contenido de los documentos que se adjuntan está destinada únicamente a la persona o entidad a quien va dirigida, puede contener información confidencial o reservada, en términos del marco jurídico aplicable en materia de transparencia, acceso a la información y protección de datos personales y puede ser objeto de solicitudes de acceso a la información. Si usted ha recibido este mensaje por error, no está autorizado para copiarlo, retransmitirlo, utilizarlo o divulgarlo total o parcialmente ni, en su caso, los archivos adjuntos, por lo que deberá eliminarlo de forma inmediata, e informarlo al remitente. El CENACE no garantiza la integridad o seguridad del presente correo, ni se responsabiliza de posibles perjuicios derivados de la recepción total o parcial del mismo; o del potencial riesgo de que contenga virus o cualesquiera otros programas maliciosos o manipulaciones efectuadas por terceros.""",ADTR > Consulta /Actualizacion de Informacion Historica (PI)
